"1,2-Dichloropropane","Some people who use water containing 1,2-dichloropropane in 
excess of the MCL over many years may have an increased risk 
of getting cancer."
"1,3-Dichloropropene","Some people who use water containing 1,3-dichloropropene in 
excess of the MCL over many years may have an increased risk 
of getting cancer."
"Ethylbenzene","Some people who use water containing ethylbenzene in excess 
of the MCL over many years may experience liver or kidney 
problems."
"Methyl-tert-butyl 
ether","Some people who use water containing methyl-tert-butyl ether in 
excess of the MCL over many years may have an increased risk 
of getting cancer."
"Monochlorobenzene","Some people who use water containing monochlorobenzene in 
excess of the MCL over many years may experience liver or 
kidney problems."
"Styrene","Some people who drink water containing styrene in excess of the 
MCL over many years may experience liver, kidney, or 
circulatory system problems."
"1,1,2,2-
Tetrachloroethane","Some people who drink water containing 1,1,2,2-
tetrachloroethane in excess of the MCL over many years may 
experience liver or nervous system problems."
"Tetrachloroethylene","Some people who use water containing tetrachloroethylene in 
excess of the MCL over many years may experience liver 
problems, and may have an increased risk of getting cancer."
"1,2,4-
Trichlorobenzene","Some people who use water containing 1,2,4-trichlorobenzene in 
excess of the MCL over many years may experience adrenal 
gland changes."
"1,1,1,-
Trichloroethane","Some people who use water containing 1,1,1-trichloroethane in 
excess of the MCL over many years may experience liver, 
nervous system, or circulatory system problems."
"1,1,2-
Trichloroethane","Some people who use water containing 1,1,2- trichloroethane in 
excess of the MCL over many years may experience liver, 
kidney, or immune system problems."
"Trichloroethylene 
(TCE)","Some people who use water containing trichloroethylene in 
excess of the MCL over many years may experience liver 
problems and may have an increased risk of getting cancer."
"Toluene","Some people who use water containing toluene in excess of the 
MCL over many years may experience nervous system, kidney, 
or liver problems."
"Trichlorofluoro-
methane","Some people who use water containing trichlorofluoromethane in 
excess of the MCL over many years may experience liver 
problems."
"1,1,2-Trichloro-","Some people who use water containing 1,1,2-trichloro-1,2,2-"
