"and Exemptions:","","","",""
"A. Operation under a variance or 
exemption","3","18 1415, 1416,","N/A","N/A"
"B. Violation of conditions of a 
variance or exemption","2","1415, 
1416,19 142.307","N/A","N/A"
"IV. Other Situations Requiring 
Public Notification:","","","",""
"A. Fluoride secondary maximum 
contaminant level (SMCL) 
exceedance","3","143.3","N/A","N/A"
"B. Exceedance of nitrate MCL for 
non-community systems, as 
allowed by primacy agency","1","141.11(d)","N/A","N/A"
"C. Availability of unregulated 
contaminant monitoring data","3","141.40","N/A","N/A"
"D. Waterborne disease outbreak","1","141.2, 
141.71(c)(2)(ii)","N/A","N/A"
"E. Other waterborne emergency 20","1","N/A","N/A","N/A"
"F. Source Water Sample Positive 
for GWR Fecal indicators: E. coli, 
enterococci, or coliphage","1","141.402(g)","N/A","N/A"
"G. Other situations as determined 
by primacy agency","21 1, 2, 3","N/A","N/A","N/A"
