"Dioxin (2,3,7,8-
TCDD)","Some people who use water containing dioxin in excess of the 
MCL over many years may experience reproductive difficulties and 
may have an increased risk of getting cancer."
"Diquat","Some people who drink water containing diquat in excess of the 
MCL over many years may get cataracts."
"Endothall","Some people who drink water containing endothall in excess of the 
MCL over many years may experience stomach or intestinal 
problems."
"Endrin","Some people who drink water containing endrin in excess of the 
MCL over many years may experience liver problems."
"Ethylene 
dibromide (EDB)","Some people who use water containing ethylene dibromide in 
excess of the MCL over many years may experience liver, 
stomach, reproductive system, or kidney problems, and may have 
an increased risk of getting cancer."
"Glyphosate","Some people who drink water containing glyphosate in excess of 
the MCL over many years may experience kidney problems or 
reproductive difficulties."
"Heptachlor","Some people who use water containing heptachlor in excess of the 
MCL over many years may experience liver damage and may have 
an increased risk of getting cancer."
"Heptachlor 
epoxide","Some people who use water containing heptachlor epoxide in 
excess of the MCL over many years may experience liver damage, 
and may have an increased risk of getting cancer."
"Hexachlorobenze
ne","Some people who drink water containing hexachlorobenzene in 
excess of the MCL over many years may experience liver or kidney 
problems, or adverse reproductive effects, and may have an 
increased risk of getting cancer."
"Hexachlorocyclo-
pentadiene","Some people who use water containing   
hexachlorocyclopentadiene in excess of the MCL over many years 
may experience kidney or stomach problems."
"Lindane","Some people who drink water containing lindane in excess of the 
MCL over many years may experience kidney or liver problems."
"Methoxychlor","Some people who drink water containing methoxychlor in excess of 
the MCL over many years may experience reproductive difficulties."
"Molinate (Ordram)","Some people who use water containing molinate in excess of the 
MCL over many years may experience reproductive effects."
"Oxamyl [Vydate]","Some people who drink water containing oxamyl in excess of the 
MCL over many years may experience slight nervous system 
effects."
"PCBs 
[Polychlorinated 
biphenyls]","Some people who drink water containing PCBs in excess of the 
MCL over many years may experience changes in their skin, 
thymus gland problems, immune deficiencies, or reproductive or 
nervous system difficulties, and may have an increased risk of"
