"Contaminant","Health Effects Language"
"Benzene","Some people who use water containing benzene in excess of the 
MCL over many years may experience anemia or a decrease in 
blood platelets, and may have an increased risk of getting 
cancer."
"Carbon 
Tetrachloride","Some people who use water containing carbon tetrachloride in 
excess of the MCL over many years may experience liver 
problems and may have an increased risk of getting cancer."
"1,2-Dichlorobenzene","Some people who drink water containing 1,2-dichlorobenzene in 
excess of the MCL over many years may experience liver, 
kidney, or circulatory system problems."
"1,4-Dichlorobenzene","Some people who use water containing 1,4-dichlorobenzene in 
excess of the MCL over many years may experience anemia, 
liver, kidney, or spleen damage, or changes in their blood."
"1,1-Dichloroethane","Some people who use water containing 1,1-dichloroethane in 
excess of the MCL over many years may experience nervous 
system or respiratory problems."
"1,2-Dichloroethane","Some people who use water containing 1,2-dichloroethane in 
excess of the MCL over many years may have an increased risk 
of getting cancer."
"1,1-Dichloroethylene","Some people who use water containing 1,1-dichloroethylene in 
excess of the MCL over many years may experience liver 
problems."
"cis-1,2-
Dichloroethylene","Some people who use water containing cis-1,2-dichloroethylene 
in excess of the MCL over many years may experience liver 
problems."
"trans-1,2-
Dichloroethylene","Some people who drink water containing trans-1,2-
dichloroethylene in excess of the MCL over many years may 
experience liver problems."
"Dichloromethane","Some people who drink water containing dichloromethane in 
excess of the MCL over many years may experience liver 
problems and may have an increased risk of getting cancer."
