"23. Lindane","2","141.61(c)","3","141.24(h)"
"24. Methoxychlor","2","141.61(c)","3","141.24(h)"
"25. Oxamyl (Vydate)","2","141.61(c)","3","141.24(h)"
"26. Pentachlorophenol","2","141.61(c)","3","141.24(h)"
"27. Picloram","2","141.61(c)","3","141.24(h)"
"28. Polychlorinated 
biphenyls (PCBs)","2","141.61(c)","3","141.24(h)"
"29. Simazine","2","141.61(c)","3","141.24(h)"
"30. Toxaphene","2","141.61(c)","3","141.24(h)"
"E. Volatile Organic Chemicals 
(VOCs)","","","",""
"1. Benzene","2","141.61(a)","3","141.24(f)"
"2. Carbon tetrachloride","2","141.61(a)","3","141.24(f)"
"3. Chlorobenzene 
(monochlorobenzene)","2","141.61(a)","3","141.24(f)"
"4. o-Dichlorobenzene","2","141.61(a)","3","141.24(f)"
"5. p-Dichlorobenzene","2","141.61(a)","3","141.24(f)"
"6. 1,2-Dichloroethane","2","141.61(a)","3","141.24(f)"
"7. 1,1-Dichloroethylene","2","141.61(a)","3","141.24(f)"
"8. cis-1,2-Dichloroethylene","2","141.61(a)","3","141.24(f)"
"9. trans-1,2-
Dichloroethylene","2","141.61(a)","3","141.24(f)"
"10. Dichloromethane","2","141.61(a)","3","141.24(f)"
"11. 1,2-Dichloropropane","2","141.61(a)","3","141.24(f)"
"12. Ethylbenzene","2","141.61(a)","3","141.24(f)"
"13. Styrene","2","141.61(a)","3","141.24(f)"
"14. Tetrachloroethylene","2","141.61(a)","3","141.24(f)"
"15. Toluene","2","141.61(a)","3","141.24(f)"
"16. 1,2,4-Trichlorobenzene","2","141.61(a)","3","141.24(f)"
