,0,1,2
0,,Maximum,Maximum
1,,Contaminant,Contaminant
2,Chemical,"Level, mg/L","Level, mg/L"
3,(b)  Synthetic Organic Chemicals (SOCs),(b)  Synthetic Organic Chemicals (SOCs),
4,Alachlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .             ,Alachlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .             ,0.002
5,Atrazine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Atrazine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.001
6,Bentazon. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Bentazon. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.018
7,Benzo(a)pyrene. . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Benzo(a)pyrene. . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.0002
8,Carbofuran. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Carbofuran. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.018
9,Chlordane . .. . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Chlordane . .. . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.0001
10,"2,4-D .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","2,4-D .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.07
11,Dalapon . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Dalapon . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.2
12,Dibromochloropropane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Dibromochloropropane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.0002
13,Di(2-ethylhexyl)adipate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Di(2-ethylhexyl)adipate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.4
14,Di(2-ethylhexyl)phthalate  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Di(2-ethylhexyl)phthalate  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.004
15,Dinoseb . . . . . .  . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . ,Dinoseb . . . . . .  . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.007
16,Diquat  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . ,Diquat  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . ,0.02
17,Endothall . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Endothall . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.1
18,Endrin. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . ,Endrin. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . ,0.002
