,0,1,2
0,Toolbox option,Systems must submit the following information,On the following schedule
1,(1) Watershed control program (WCP),(i) Notice of intention to develop a new or continue an existing watershed control program,No later than two years before the applicable treatment compliance date in § 141.713
2,   ,(ii) Watershed control plan,No later than one year before the applicable treatment compliance date in § 141.713.
3,   ,(iii) Annual watershed control program status report,"Every 12 months, beginning one year after the applicable treatment compliance date in § 141.713."
4,   ,(iv) Watershed sanitary survey report,"For community water systems, every three years beginning three years after the applicable treatment compliance date in § 141.713. For noncommunity water systems, every five years beginning five years after the applicable treatment compliance date in § 141.713."
5,(2) Alternative source/intake management,Verification that system has relocated the intake or adopted the intake withdrawal procedure reflected in monitoring results,No later than the applicable treatment compliance date in § 141.713.
6,(3) Presedimentation,Monthly verification of the following: (i) Continuous basin operation (ii) Treatment of 100% of the flow (iii) Continuous addition of a coagulant (iv) At least 0.5-log mean reduction of influent turbidity or compliance with alternative State-approved performance criteria,"Monthly reporting within 10 days following the month in which the monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
7,(4) Two-stage lime softening,Monthly verification of the following: (i) Chemical addition and hardness precipitation occurred in two separate and sequential softening stages prior to filtration (ii) Both stages treated 100% of the plant flow,"Monthly reporting within 10 days following the month in which the monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
8,(5) Bank filtration,"(i) Initial demonstration of the following: (A) Unconsolidated, predominantly sandy aquifer (B) Setback distance of at least 25 ft. (0.5-log credit) or 50 ft. (1.0-log credit)",No later than the applicable treatment compliance date in § 141.713.
9,   ,(ii) If monthly average of daily max turbidity is greater than 1 NTU then system must report result and submit an assessment of the cause.,"Report within 30 days following the month in which the monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
10,(6) Combined filter performance,Monthly verification of combined filter effluent (CFE) turbidity levels less than or equal to 0.15 NTU in at least 95 percent of the 4 hour CFE measurements taken each month,"Monthly reporting within 10 days following the month in which the monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
11,(7) Individual filter performance,Monthly verification of the following: (i) Individual filter effluent (IFE) turbidity levels less than or equal to 0.15 NTU in at least 95 percent of samples each month in each filter (ii) No individual filter greater than 0.3 NTU in two consecutive readings 15 minutes apart,"Monthly reporting within 10 days following the month in which the monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713.]"
12,(8) Demonstration of performance,"(i) Results from testing following a State approved protocol
(ii) As required by the State, monthly verification of operation within conditions of State approval for demonstration of performance credit","No later than the applicable treatment compliance date in § 141.713.
Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
13,(9) Bag filters and cartridge filters,(i) Demonstration that the following criteria are met: (A) Process meets the definition of bag or cartridge filtration; (B) Removal efficiency established through challenge testing that meets criteria in this subpart,No later than the applicable treatment compliance date in § 141.713.
14,   ,(ii) Monthly verification that 100% of plant flow was filtered,"Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
15,(10) Membrane filtration,"(i) Results of verification testing demonstrating the following: (A) Removal efficiency established through challenge testing that meets criteria in this subpart; (B) Integrity test method and parameters, including resolution, sensitivity, test frequency, control limits, and associated baseline",No later than the applicable treatment compliance date in § 141.713.
16,   ,"(ii) Monthly report summarizing the following: (A) All direct integrity tests above the control limit; (B) If applicable, any turbidity or alternative state-approved indirect integrity monitoring results triggering direct integrity testing and the corrective action that was taken","Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
17,(11) Second stage filtration,Monthly verification that 100% of flow was filtered through both stages and that first stage was preceded by coagulation step,"Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
18,(12) Slow sand filtration (as secondary filter),Monthly verification that both a slow sand filter and a preceding separate stage of filtration treated 100% of flow from subpart H sources.,"Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
19,(13) Chlorine dioxide,Summary of CT values for each day as described in § 141.720.,"Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
20,(14) Ozone,Summary of CT values for each day as described in § 141.720.,"Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
21,(15) UV,"(i) Validation test results demonstrating operating conditions that achieve required UV dose
(ii) Monthly report summarizing the percentage of water entering the distribution system that was not treated by UV reactors operating within validated conditions for the required dose as specified in 141.720(d).","No later than the applicable treatment compliance date in § 141.713.
Within 10 days following the month in which monitoring was conducted, beginning on the applicable treatment compliance date in § 141.713."
