,0,1,2
0,Fecal indicator1,Methodology,Method citation
1,E. coli ,Colilert3,9223 B.2
2,  ,Colisure3,9223 B.2
3,  ,Membrane Filter Method with MI Agar,EPA Method 1604.4
4,  ,m-ColiBlue24 Test5,
5,  ,E*Colite Test6,
6,  ,EC–MUG7,9221 F.2
7,  ,NA–MUG7,9222 G.2
8,Enterococci,Multiple-Tube Technique,9230B.2
9,  ,Membrane Filter Technique,9230C.2
10,  ,Membrane Filter Technique,EPA Method 1600.8
11,  ,Enterolert9,
12,Coliphage,Two-Step Enrichment Presence-Absence Procedure,EPA Method 1601.10
13,  ,Single Agar Layer Procedure,EPA Method 1602.11
