,0,1
0,Contaminant,Health Effects Language
1,Benzene,"Some people who use water containing benzene in excess of the MCL over many years may experience anemia or a decrease in blood platelets, and may have an increased risk of getting cancer."
2,Carbon Tetrachloride,Some people who use water containing carbon tetrachloride in excess of the MCL over many years may experience liver problems and may have an increased risk of getting cancer.
3,"1,2-Dichlorobenzene","Some people who drink water containing 1,2-dichlorobenzene in excess of the MCL over many years may experience liver, kidney, or circulatory system problems."
4,"1,4-Dichlorobenzene","Some people who use water containing 1,4-dichlorobenzene in excess of the MCL over many years may experience anemia, liver, kidney, or spleen damage, or changes in their blood."
5,"1,1-Dichloroethane","Some people who use water containing 1,1-dichloroethane in excess of the MCL over many years may experience nervous system or respiratory problems."
6,"1,2-Dichloroethane","Some people who use water containing 1,2-dichloroethane in excess of the MCL over many years may have an increased risk of getting cancer."
7,"1,1-Dichloroethylene","Some people who use water containing 1,1-dichloroethylene in excess of the MCL over many years may experience liver problems."
8,"cis-1,2-Dichloroethylene","Some people who use water containing cis-1,2-dichloroethylene in excess of the MCL over many years may experience liver problems."
9,"trans-1,2-Dichloroethylene","Some people who drink water containing trans-1,2-dichloroethylene in excess of the MCL over many years may experience liver problems."
10,Dichloromethane,Some people who drink water containing dichloromethane in excess of the MCL over many years may experience liver problems and may have an increased risk of getting cancer.
11,"1,2-Dichloropropane","Some people who use water containing 1,2-dichloropropane in excess of the MCL over many years may have an increased risk of getting cancer."
12,"1,3-Dichloropropene","Some people who use water containing 1,3-dichloropropene in excess of the MCL over many years may have an increased risk of getting cancer."
13,Ethylbenzene,Some people who use water containing ethylbenzene in excess of the MCL over many years may experience liver or kidney problems.
14,Methyl-tert-butyl ether ,Some people who use water containing methyl-tert-butyl ether in excess of the MCL over many years may have an increased risk of getting cancer.
15,Monochlorobenzene,Some people who use water containing monochlorobenzene in excess of the MCL over many years may experience liver or kidney problems.
16,Styrene,"Some people who drink water containing styrene in excess of the MCL over many years may experience liver, kidney, or circulatory system problems."
17,"1,1,2,2-Tetrachloroethane","Some people who drink water containing 1,1,2,2-tetrachloroethane in excess of the MCL over many years may experience liver or nervous system problems."
18,Tetrachloroethylene,"Some people who use water containing tetrachloroethylene in excess of the MCL over many years may experience liver problems, and may have an increased risk of getting cancer."
19,"1,2,4-Trichlorobenzene","Some people who use water containing 1,2,4-trichlorobenzene in excess of the MCL over many years may experience adrenal gland changes."
20,"1,1,1,-Trichloroethane","Some people who use water containing 1,1,1-trichloroethane in excess of the MCL over many years may experience liver, nervous system, or circulatory system problems."
21,"1,1,2-Trichloroethane","Some people who use water containing 1,1,2- trichloroethane in excess of the MCL over many years may experience liver, kidney, or immune system problems."
22,Trichloroethylene (TCE),Some people who use water containing trichloroethylene in excess of the MCL over many years may experience liver problems and may have an increased risk of getting cancer.
23,Toluene,"Some people who use water containing toluene in excess of the MCL over many years may experience nervous system, kidney, or liver problems."
24,Trichlorofluoro-methane,Some people who use water containing trichlorofluoromethane in excess of the MCL over many years may experience liver problems.
25,"1,1,2-Trichloro-1,2,2-trifluoroethane","Some people who use water containing 1,1,2-trichloro-1,2,2-trichfluoroethane in excess of the MCL over many years may experience liver problems."
26,Vinyl Chloride,Some people who use water containing vinyl chloride in excess of the MCL over many years may have an increased risk of getting cancer.
27,Xylenes,Some people who use water containing xylenes in excess of the MCL over many years may experience nervous system damage.
