,0,1,2
0,If a supplier uses…,,The turbidity level of the combined filter effluent…
1,,,
2,"(1)  Conventional or direct filtration treatment and serves 10,000 or more persons",,(A)  Shall be less than or equal to 0.3 NTU in at least 95 percent of the measurements taken each month;
3,"(1)  Conventional or direct filtration treatment and serves 10,000 or more persons",,(B)  Shall not exceed 1 NTU for more than one continuous hour;
4,"(1)  Conventional or direct filtration treatment and serves 10,000 or more persons",,(C)  Shall not exceed 1 NTU at four-hour intervals; and
5,"(1)  Conventional or direct filtration treatment and serves 10,000 or more persons",,(D)  Shall not exceed 1.0 NTU for more than eight consecutive hours.
6,,,
7,"(2)  Conventional or direct filtration treatment and serves fewer than 10,000 persons",,(A)  Shall be less than or equal to 0.3 NTU in at least 95 percent of the measurements taken each month;
8,"(2)  Conventional or direct filtration treatment and serves fewer than 10,000 persons",,(B)  For a supplier using a grab sample monitoring program:
9,"(2)  Conventional or direct filtration treatment and serves fewer than 10,000 persons",,1.  Shall not exceed 1 NTU; and
10,"(2)  Conventional or direct filtration treatment and serves fewer than 10,000 persons",,2.  Shall not exceed 1.0 NTU in more than two consecutive samples; and
11,"(2)  Conventional or direct filtration treatment and serves fewer than 10,000 persons",,(C)  For a supplier using a continuous monitoring program:
12,"(2)  Conventional or direct filtration treatment and serves fewer than 10,000 persons",,"1.  If recording results at least once every 15 minutes, shall comply with paragraph (1)(B); and"
13,"(2)  Conventional or direct filtration treatment and serves fewer than 10,000 persons",,2.  Shall comply with paragraphs (1)(C) and (1)(D).
14,,,
15,(3)  Diatomaceous earth filtration,,(A)  Shall be less than or equal to 0.5 NTU in at least 95 percent of the measurements taken each month;
16,(3)  Diatomaceous earth filtration,,(B)  Shall not exceed 5.0 NTU;
17,(3)  Diatomaceous earth filtration,,"(C)  For a supplier using a grab sample monitoring program, shall comply with paragraph (2)(B)2; and"
18,(3)  Diatomaceous earth filtration,,"(D)  For a supplier using a continuous monitoring program, shall comply with paragraph (1)(D)."
19,,,
20,(4)  Slow sand filtration,,(A)  Shall be less than or equal to 1.0 NTU in at least 95 percent of the measurements taken each month; and
21,(4)  Slow sand filtration,,(B)  Shall not exceed 5.0 NTU.
22,,,
23,"(a)  If there is only one filter at the treatment plant, the combined filter effluent turbidity performance standards shall apply to the effluent produced by the filter.","(a)  If there is only one filter at the treatment plant, the combined filter effluent turbidity performance standards shall apply to the effluent produced by the filter.","(a)  If there is only one filter at the treatment plant, the combined filter effluent turbidity performance standards shall apply to the effluent produced by the filter."
