,0,1,2
0,,Detection Limit for Purposes of Reporting,Detection Limit for Purposes of Reporting
1,Chemical,(DLR)(mg/L),(DLR)(mg/L)
2,,,
3,"(a) All VOCs, except as listed. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","(a) All VOCs, except as listed. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.0005
4,        Methyl-tert-butyl ether. . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,        Methyl-tert-butyl ether. . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.003
5,        Trichlorofluoromethane . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,        Trichlorofluoromethane . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.005
6,"       1,1,2-Trichloro-1,2,2-Trifluoroethane . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","       1,1,2-Trichloro-1,2,2-Trifluoroethane . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.01    
7,(b) SOCs,(b) SOCs,
8,  Alachlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  Alachlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.001
9,  Atrazine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Atrazine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.0005
10,  Bentazon. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Bentazon. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.002
11,  Benzo(a)pyrene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  Benzo(a)pyrene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.0001
12,  Carbofuran. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  ,  Carbofuran. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  ,0.005
13,  Chlordane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Chlordane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.0001
14,"  2,4-D. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","  2,4-D. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.01
15,  Dalapon. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Dalapon. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.01
16,  Dibromochloropropane (DBCP). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Dibromochloropropane (DBCP). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.00001
17,  Di(2-ethylhexyl)adipate. . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . .,  Di(2-ethylhexyl)adipate. . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . .,0.005
18,  Di(2-ethylhexyl)phthalate. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Di(2-ethylhexyl)phthalate. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.003 
19,  Dinoseb. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Dinoseb. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.002
20,  Diquat. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Diquat. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.004
21,  Endothall. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Endothall. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.045
22,  Endrin. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  Endrin. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.0001
23,  Ethylene dibromide (EDB). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  Ethylene dibromide (EDB). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.00002
24,  Glyphosate. . . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Glyphosate. . . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.025
