,0,1,2,3,4
0,Contaminant,MCL/MRDL/TT violations 2,MCL/MRDL/TT violations 2,Monitoring & testing procedure violations,Monitoring & testing procedure violations
1,Contaminant,Tier of public notice required,Citation,Tier of public notice required,Citation
2,I. Violations of National Primary Drinking Water Regulations (NPDWR): 3,,,,
3,A. Microbiological Contaminants,,,,
4,1.a Total coliform bacteria †,2,141.63(a),3,141.21(a)-(e)
5,1.b Total coliform (Monitoring or TT violations resulting from failure to perform assessments or corrective actions) ‡,2,141.860(b),3,141.860(c)
6,1.c Seasonal system failure to follow State-approved start-up plan prior to serving water to the public. ‡,2,141.860(b)(2),,
7,2.a Fecal coliform/E. coli†,1,141.63(b),"4 1,3",141.21(e)
8,2.bE. coli‡,1,141.860 (a),3,"141.860(c)
141.860(d)(2)"
9,2.cE.coli(TT violations resulting from failure to perform level 2 Assessments or corrective action) ‡,2,141.860(b),,
10,3. Turbidity MCL,2,141.13(a),3,141.22
11,4. Turbidity MCL (average of 2 days' samples >5 NTU),"5 2, 1",141.13(b),3,141.22
12,5. Turbidity (for TT violations resulting from a single exceedance of maximum allowable turbidity level),"6 2, 1","141.71(a)(2), 141.71(c)(2)(i), 141.73(a)(2), 141.73 (b)(2), 141.73 (c)(2), 141.73(d), 141.173(a)(2), 141.173(b), 141.551(b)",3,"141.74(a)(1), 141.74(b)(2), 141.74(c)(1), 141.174, 141.560(a)-(c), 141.561."
13,"6. Surface Water Treatment Rule violations, other than violations resulting from single exceedance of max. allowable turbidity level (TT)",2,141.70-141.73,3,141.74
14,"7. Interim Enhanced Surface Water Treatment Rule violations, other than violations resulting from single exceedance of max. turbidity level (TT)",7 2,"141.170-141.173, 141.500-141.553",3,"141.172, 141.174, 141.530-141.544, 141.560-141.564."
15,8. Filter Backwash Recycling Rule violations,2,141.76(c),3,"141.76(b), (d)"
16,9. Long Term 1 Enhanced Surface Water Treatment Rule violations,2,141.500-141.553,3,"141.530-141.544, 141.560-141.564."
17,10. LT2ESWTR violations,2,141.710-141.720,"22 2, 3",141.701-141.705 and 141.708-141.709.
18,11. Ground Water Rule violations,2,141.404,3,"141.402(h),
141.403(d)."
19,B. Inorganic Chemicals (IOCs),,,,
20,1. Antimony,2,141.62(b),3,"141.23(a), (c)"
21,2. Arsenic,2,8 141.62(b),3,"11 141.23(a), (c)"
22,3. Asbestos (fibers >10 µm),2,141.62(b),3,141.23(a)-(b)
23,4. Barium,2,141.62(b),3,"141.23(a), (c)"
24,5. Beryllium,2,141.62(b),3,"141.23(a), (c)"
25,6. Cadmium,2,141.62(b),3,"141.23(a), (c)"
26,7. Chromium (total),2,141.62(b),3,"141.23(a), (c)"
27,8. Cyanide,2,141.62(b),3,"141.23(a), (c)"
28,9. Fluoride,2,141.62(b),3,"141.23(a), (c)"
29,10. Mercury (inorganic),2,141.62(b),3,"141.23(a), (c)"
30,11. Nitrate,1,141.62(b),"12 1, 3","141.23(a), (d), 141.23(f)(2)"
31,12. Nitrite,1,141.62(b),"12 1, 3","141.23(a), (e), 141.23(f)(2)"
32,13. Total Nitrate and Nitrite,1,141.62(b),3,141.23(a)
33,14. Selenium,2,141.62(b),3,"141.23(a), (c)"
34,15. Thallium,2,141.62(b),3,"141.23(a), (c)"
35,"C. Lead and Copper Rule (Action Level for lead is 0.015 mg/L, for copper is 1.3 mg/L)",,,,
36,1. Lead and Copper Rule (TT),2,141.80-141.85,3,141.86-141.89
37,D. Synthetic Organic Chemicals (SOCs),,,,
38,"1. 2,4-D",2,141.61(c),3,141.24(h)
39,"2. 2,4,5-TP (Silvex)",2,141.61(c),3,141.24(h)
40,3. Alachlor,2,141.61(c),3,141.24(h)
41,4. Atrazine,2,141.61(c),3,141.24(h)
42,5. Benzo(a)pyrene (PAHs),2,141.61(c),3,141.24(h)
