,0,1
0,Contaminant,Health Effects Language
1,"2,4-D","Some people who use water containing the weed killer 2,4-D in excess of the MCL over many years may experience kidney, liver, or adrenal gland problems."
2,"2,4,5-TP (Silvex)",Some people who drink water containing Silvex in excess of the MCL over many years may experience liver problems.
3,Alachlor,"Some people who use water containing alachlor in excess of the MCL over many years may experience eye, liver, kidney, or spleen problems, or experience anemia, and may have an increased risk of getting cancer."
4,Atrazine,Some people who use water containing atrazine in excess of the MCL over many years may experience cardiovascular system problems or reproductive difficulties.
5,Bentazon,Some people who drink water containing bentazon in excess of the MCL over many years may experience prostate and gastrointestinal effects.
6,Benzo(a)pyrene [PAH],Some people who use water containing benzo(a)pyrene in excess of the MCL over many years may experience reproductive difficulties and may have an increased risk of getting cancer.
7,Carbofuran,"Some people who use water containing carbofuran in excess of the MCL over many years may experience problems with their blood, or nervous or reproductive system problems."
8,Chlordane,"Some people who use water containing chlordane in excess of the MCL over many years may experience liver or nervous system problems, and may have an increased risk of getting cancer."
9,Dalapon,Some people who drink water containing dalapon in excess of the MCL over many years may experience minor kidney changes.
10,Dibromochloro-propane (DBCP),Some people who use water containing DBCP in excess of the MCL over many years may experience reproductive difficulties and may have an increased risk of getting cancer.
11,Di (2-ethylhexyl) adipate,"Some people who drink water containing di(2-ethylhexyl) adipate in excess of the MCL over many years may experience weight loss, liver enlargement, or possible reproductive  difficulties."
12,Di (2-ethylhexyl) phthalate,"Some people who use water containing di(2-ethylhexyl) phthalate well in excess of the MCL over many years may experience liver problems or reproductive difficulties, and may have an increased risk of getting cancer."
13,Dinoseb,Some people who drink water containing dinoseb in excess of the MCL over many years may experience reproductive difficulties.
14,"Dioxin (2,3,7,8-TCDD)",Some people who use water containing dioxin in excess of the MCL over many years may experience reproductive difficulties and may have an increased risk of getting cancer.
15,Diquat,Some people who drink water containing diquat in excess of the MCL over many years may get cataracts.
16,Endothall,Some people who drink water containing endothall in excess of the MCL over many years may experience stomach or intestinal problems.
17,Endrin,Some people who drink water containing endrin in excess of the MCL over many years may experience liver problems.
18,Ethylene dibromide (EDB),"Some people who use water containing ethylene dibromide in excess of the MCL over many years may experience liver, stomach, reproductive system, or kidney problems, and may have an increased risk of getting cancer."
19,Glyphosate,Some people who drink water containing glyphosate in excess of the MCL over many years may experience kidney problems or reproductive difficulties.
20,Heptachlor,Some people who use water containing heptachlor in excess of the MCL over many years may experience liver damage and may have an increased risk of getting cancer.
21,Heptachlor epoxide,"Some people who use water containing heptachlor epoxide in excess of the MCL over many years may experience liver damage, and may have an increased risk of getting cancer."
22,Hexachlorobenzene,"Some people who drink water containing hexachlorobenzene in excess of the MCL over many years may experience liver or kidney problems, or adverse reproductive effects, and may have an increased risk of getting cancer."
23,Hexachlorocyclo-pentadiene,Some people who use water containing   hexachlorocyclopentadiene in excess of the MCL over many years may experience kidney or stomach problems.
24,Lindane,Some people who drink water containing lindane in excess of the MCL over many years may experience kidney or liver problems.
25,Methoxychlor,Some people who drink water containing methoxychlor in excess of the MCL over many years may experience reproductive difficulties.
26,Molinate (Ordram),Some people who use water containing molinate in excess of the MCL over many years may experience reproductive effects.
27,Oxamyl [Vydate],Some people who drink water containing oxamyl in excess of the MCL over many years may experience slight nervous system effects.
28,PCBs [Polychlorinated biphenyls],"Some people who drink water containing PCBs in excess of the MCL over many years may experience changes in their skin, thymus gland problems, immune deficiencies, or reproductive or nervous system difficulties, and may have an increased risk of getting cancer."
29,Pentachlorophenol,"Some people who use water containing pentachlorophenol in excess of the MCL over many years may experience liver or kidney problems, and may have an increased risk of getting cancer."
30,Picloram,Some people who drink water containing picloram in excess of the MCL over many years may experience liver problems.
31,Simazine,Some people who use water containing simazine in excess of the MCL over many years may experience blood problems.
32,Thiobencarb,Some people who use water containing thiobencarb in excess of the MCL over many years may experience body weight and blood effects.
33,Toxaphene,"Some people who use water containing toxaphene in excess of the MCL over many years may experience kidney, liver, or thyroid problems, and may have an increased risk of getting cancer."
34,"1,2,3-Trichloropropane","Some people who drink water containing 1,2,3-trichloropropane in excess of the MCL over many years may have an increased risk of getting cancer."
