,0,1,2,3,4,5,6
0,,,,,Minimum monitoring frequency1,Minimum monitoring frequency1,Minimum monitoring frequency1
1,,,,,,,
2,Source water type,,Persons served,,Number of distribution system monitoring locations,,Monitoring period2
3,,,,,,,
4,Systems using approved surface water,,"5,000,000",,20 dual sample sets,,per quarter
5,Systems using approved surface water,,,,,,
6,Systems using approved surface water,,"1,000,000 – 4,999,999",,16 dual sample sets,,per quarter
7,,,,,,,
8,,,"250,000 – 999,999",,12 dual sample sets,,per quarter
9,,,,,,,
10,,,"50,000 – 249,999",,8 dual sample sets,,per quarter
11,,,,,,,
12,,,"10,000 – 49,999",,4 dual sample sets,,per quarter
13,,,,,,,
14,,,"3,301 – 9,999",,2 dual sample sets,,per quarter
15,,,,,,,
16,,,"500 – 3,300",,"1 TTHM and 1 HAA5 sample: one at the location with the highest TTHM measurement, one at the location with the highest HAA5 measurement",,per quarter
17,,,,,,,
18,,,500,,"1 TTHM and 1 HAA5 sample: one at the location with the highest TTHM  measurement, one at the location with the highest HAA5 measurement3 ",,per year
19,,,,,,,
20,Systems using ground water not under direct influence of surface water,,"500,000",,8 dual sample sets,,per quarter
21,Systems using ground water not under direct influence of surface water,,,,,,
22,Systems using ground water not under direct influence of surface water,,"100,000 – 499,999",,6 dual sample sets,,per quarter
23,Systems using ground water not under direct influence of surface water,,,,,,
24,Systems using ground water not under direct influence of surface water,,"10,000 – 99,999",,4 dual sample sets,,per quarter
25,,,,,,,
26,,,"500 – 9,999",,2 dual sample sets,,per year
27,,,,,,,
28,,,500,,"1 TTHM and 1 HAA5 sample: one at the location with the highest TTHM  measurement, one at the location with the highest HAA5 measurement3 ",,per year
29,,,,,,,
